"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.2765113165075,"+",-0.203829720283035,"+",0.0684348602881988,"+",-0.06910870083234,NA,-0.0545798077766679,"+",NA,"+",NA,"+",NA,0.322427939250727,17,-141.964594395231,327.201916063188,14.8738633726052,1.2473082153583e-05
1.39962305201985,"+",-0.125046013363061,"+",-0.101916223190683,"+",-0.0762729463095104,"+",-0.188357240992298,"+",NA,NA,"+","+","+",0.398686783643762,20,-136.949796395041,327.232926123415,14.9048734328315,1.22811782218635e-05
1.05060692673412,"+",-0.171533830610779,"+",0.110196249041786,"+",-0.0508595997758964,NA,-0.191760740745342,NA,NA,"+",NA,NA,"+",0.269949060320652,15,-145.097727290288,327.254278109988,14.9262254194046,1.21507618464913e-05
1.01927643175445,"+",NA,"+",0.0991222342713896,NA,-0.0226623497251966,NA,-0.126910905149716,NA,NA,NA,NA,"+",NA,0.163836233924182,11,-150.797554608574,327.261775883815,14.9337231932316,1.21052952921509e-05
1.12601438104147,"+",NA,"+",NA,NA,-0.0971309339872758,NA,-0.0757036922523106,"+",NA,NA,NA,"+",NA,0.190315538497984,12,-149.446000141404,327.286366479991,14.9583137894075,1.19573683446074e-05
1.05312592228579,"+",NA,"+",-0.0477253614031359,NA,NA,NA,-0.0924991519291117,"+",0.0547294121549305,NA,"+",NA,NA,0.216791844467609,13,-148.049663361088,327.299326722176,14.9712740315927,1.18801336650928e-05
1.11600958754972,"+",NA,"+",0.085044352702624,NA,-0.0856384778807302,NA,-0.0911107608704668,"+",NA,NA,NA,"+",NA,0.216646266265769,13,-148.057469352714,327.314938705428,14.9868860148454,1.17877584503213e-05
1.47875008362776,"+",-0.167272948668124,"+",-0.119364155002387,"+",NA,"+",-0.208603789998409,"+",0.0454184077308881,"+","+",NA,"+",0.398012630807527,20,-136.99685765708,327.327048647493,14.9989959569103,1.17165995642703e-05
1.10300214371188,"+",NA,"+",NA,NA,-0.0820798390255648,NA,NA,"+",0.0650778269148221,NA,NA,"+",NA,0.18948696018817,12,-149.488958227708,327.3722826526,15.0442299620169,1.14545794262172e-05
1.11168120970099,"+",-0.154336476405668,"+",-0.0722411231813316,NA,-0.132466078800507,NA,-0.114717004337644,"+",0.0284509036518707,NA,"+","+","+",0.372360802773609,19,-138.749476117991,327.373952235981,15.0458995453984,1.14450212285978e-05
1.07939017128706,"+",-0.179103825461087,"+",0.0937715728412422,NA,-0.134363247149394,NA,-0.145364153941559,"+",0.0325518443124629,"+",NA,NA,"+",0.321009105785325,17,-142.052450291719,327.377627856166,15.0495751655831,1.14240067692842e-05
1.14891889583077,"+",NA,"+",-0.0694949125687905,NA,-0.00366022540080703,"+",NA,NA,NA,NA,"+","+",NA,0.2158012983587,13,-148.102748419281,327.405496838562,15.0774441479788,1.12659230137823e-05
1.10419086960554,"+",NA,"+",NA,NA,-0.128245034721611,NA,-0.195871649192424,"+",NA,NA,NA,NA,"+",0.189094040866506,12,-149.509313992435,327.412994182053,15.0849414914702,1.12237698250885e-05
1.36042083089749,"+",NA,"+",NA,"+",NA,NA,-0.241914835899497,"+",NA,NA,NA,NA,"+",0.189006659246362,12,-149.513839585423,327.42204536803,15.0939926774466,1.11730903748462e-05
1.09215723430697,"+",NA,"+",-0.0464634623344861,"+",-0.054709224510139,NA,-0.245527466062256,NA,0.0855902048399222,NA,"+",NA,"+",0.268338931279971,15,-145.190256388594,327.439336306601,15.1112836160175,1.1076910125956e-05
1.2114542884704,"+",NA,"+",-0.0683295581486427,"+",-0.0902440365024864,NA,-0.130694868700866,"+",0.0434310983424183,NA,"+",NA,NA,0.268280359751471,15,-145.193618472273,327.446060473957,15.1180077833739,1.10397311616325e-05
1.0385766629662,"+",-0.219480551617842,"+",-0.0791849824605634,"+",-0.0333417429860561,NA,NA,NA,NA,"+","+","+",NA,0.294029423065844,16,-143.689015740037,327.497434465149,15.1693817745664,1.07597647773627e-05
1.10464470784511,"+",-0.200232002667914,"+",-0.0769644116516478,NA,-0.131874122139727,NA,-0.0956486375945456,"+",0.0219756311717946,"+","+",NA,"+",0.371296651536179,19,-138.820626080736,327.516252161472,15.1881994708892,1.06590025558834e-05
1.060917363704,"+",-0.187946028228678,"+",-0.0706046809525798,"+",-0.066700921148584,NA,-0.15520705930929,NA,0.0833295813159602,"+","+",NA,"+",0.345399273907844,18,-140.515995976307,327.55506887569,15.2270161851073,1.04541234425396e-05
1.13256057919673,"+",NA,"+",NA,"+",-0.0123722850696265,NA,-0.143353084425374,NA,0.112835979370667,NA,NA,"+",NA,0.187517944708058,12,-149.590866965434,327.57610012805,15.2480474374672,1.03447677677729e-05
1.08636128184361,"+",-0.198990773884863,"+",NA,"+",-0.0209816912905611,NA,-0.0811110439664804,NA,NA,"+",NA,"+",NA,0.240730546649854,14,-146.745908649101,327.578773819941,15.2507211293584,1.03309476466692e-05
1.08733534497386,"+",-0.183820853575693,"+",0.0701208742709451,"+",-0.0364838419755903,NA,-0.0944931682950519,NA,0.0926939044463364,"+",NA,"+",NA,0.293319194281554,16,-143.731247831861,327.581898648797,15.2538459582139,1.03148190280879e-05
1.34983553177746,"+",NA,"+",-0.105863026284877,"+",-0.0577648019647225,"+",-0.198569122471632,"+",0.106847476666278,NA,"+","+",NA,0.344984803674489,18,-140.542580488734,327.608237900544,15.2801852099614,1.01798673028846e-05
1.11548380457494,"+",NA,"+",NA,"+",-0.042952642319949,NA,-0.263192504827298,NA,0.112581095614654,NA,NA,NA,"+",0.187003328239729,12,-149.617460844556,327.629287886296,15.3012351957128,1.00732861389213e-05
1.36341946678612,"+",-0.193112563447211,"+",NA,"+",-0.071212334509392,"+",-0.071883175052876,"+",NA,"+",NA,"+",NA,0.318943416040592,17,-142.180032655402,327.63279258353,15.3047398929472,1.00556496870042e-05
1.22459156320341,"+",-0.211232088156656,"+",0.0604880826509622,"+",-0.0800578184602568,NA,NA,"+",0.019740462992702,"+",NA,"+",NA,0.318905085378642,17,-142.18239639806,327.637520068847,15.3094673782643,1.00319087886206e-05
1.18264254516714,"+",NA,"+",-0.0738577070931895,"+",-0.0951026990995033,NA,NA,"+",0.0296727486863583,NA,"+",NA,NA,0.240134779823719,14,-146.77885136105,327.644659243838,15.3166065532554,9.9961628495372e-06
1.21740118361381,"+",NA,"+",-0.094470455116186,"+",-0.0116244685929384,"+",NA,NA,0.116610440052677,NA,"+","+",NA,0.266449558801809,15,-145.298573430234,327.65597038988,15.3279176992968,9.93978838582626e-06
1.14532908945272,"+",-0.117485178446402,"+",0.104837202450157,"+",-0.0393031286924892,"+",-0.238132122607393,NA,NA,NA,NA,"+","+",0.292666792836743,16,-143.770003972008,327.65941092909,15.3313582385074,9.92270396909789e-06
1.32713656529492,"+",-0.133546146946479,"+",0.0878661469175382,"+",-0.081892775654235,"+",-0.205310429103207,"+",NA,NA,NA,"+","+",0.344498908227091,18,-140.573724870396,327.67052666387,15.3424739732868,9.86770786837621e-06
1.07381181283503,"+",NA,"+",0.121179231217214,"+",-0.0372293971396678,NA,-0.264449842468141,NA,NA,NA,NA,NA,"+",0.186486456571583,12,-149.644154326823,327.682674850829,15.3546221602462,9.80795215297588e-06
1.2218988924993,"+",-0.175038383828739,"+",-0.104476878586324,"+",-0.0373358872891446,"+",-0.161181877828755,NA,NA,"+","+","+",NA,0.344285245539693,18,-140.587412674698,327.697902272473,15.3698495818898,9.73356079802435e-06
1.23727024915841,"+",-0.198783250826189,"+",NA,"+",-0.0905296874143747,"+",NA,"+",0.0594320482565548,"+",NA,"+",NA,0.318400801594077,17,-142.213481760088,327.699690792904,15.3716381023207,9.7248603526588e-06
1.22975833972919,"+",-0.156326828435679,"+",NA,"+",-0.0954873949425275,NA,-0.164112500994616,"+",0.0404150710550479,NA,NA,"+","+",0.318347542780743,17,-142.216763428813,327.706254130353,15.3782014397704,9.69299889056183e-06
1.03489507322079,"+",NA,"+",0.100107080920235,NA,-0.124961996502575,NA,-0.234597798704981,"+",0.0610850320181584,NA,NA,NA,"+",0.239438632990268,14,-146.8173118422,327.721580206138,15.3935275155551,9.61900494407085e-06
1.07814994572144,"+",NA,"+",-0.0381754498598734,"+",-0.0428387335104693,NA,-0.238169247173265,NA,NA,NA,"+",NA,"+",0.239427495392739,14,-146.81792688221,327.722810286159,15.3947575955762,9.61309069010633e-06
1.13758715989227,"+",-0.153807269053705,"+",-0.097282158085007,NA,-0.100441532308779,"+",-0.183131792386198,NA,0.111006357366914,"+","+","+","+",0.394927280370431,20,-137.211569421269,327.756472175871,15.4284194852882,9.4526472853797e-06
1.04735602975792,"+",-0.216455557686886,"+",-0.0824921258430096,"+",-0.0467434433537016,NA,NA,NA,0.0868827622287838,"+","+","+",NA,0.31793031494806,17,-142.242463047491,327.757653367709,15.4296006771261,9.44706623870373e-06
1.09068142729045,"+",NA,"+",-0.0361884305048293,NA,NA,NA,-0.155891034719449,"+",NA,NA,"+",NA,"+",0.239067075073417,14,-146.837825140081,327.762606801902,15.4345541113187,9.42369747908926e-06
1.11454924796665,"+",-0.152646522931637,"+",NA,NA,-0.140519445813961,"+",-0.183596339181134,"+",0.0978747243576092,"+",NA,NA,"+",0.317842592905002,17,-142.247864385486,327.7684560437,15.4404033531166,9.39617699959727e-06
1.15696711124847,"+",NA,"+",-0.0653817682595292,NA,-0.0819137816679194,NA,NA,"+",NA,NA,"+","+",NA,0.238997641185204,14,-146.841657396733,327.770271315204,15.4422186246212,9.38765256254463e-06
1.09397914732682,"+",-0.197486294680365,"+",0.0667195908138772,NA,-0.114307409241159,NA,-0.0366800518804668,"+",0.0384794196387063,"+",NA,"+",NA,0.317656764700891,17,-142.259304152355,327.791335577438,15.463282886855,9.28929941813881e-06
1.13169476565226,"+",NA,"+",NA,"+",-0.0213549381138396,"+",NA,NA,NA,NA,NA,NA,NA,0.104436374688254,9,-153.679963481234,327.792359394901,15.4643067043183,9.28454536158107e-06
1.10378379789094,"+",-0.18076952173054,"+",NA,NA,NA,NA,-0.0920533168708546,"+",NA,"+",NA,NA,"+",0.238786840810422,14,-146.853289935874,327.793536393487,15.4654837029041,9.27908302065079e-06
